"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32970","Validate successful addition of a new Alert Rule","chromium","Sun Dec 29 19:51:24 GMT 2024","failed","Sun Dec 29 19:51:57 GMT 2024","","TC_02_Verify_user_is_able_to_add_new_alert_rule_successfully.spec.ts","",""
"","4","Validate addition and deletion of a new user","chromium","Sun Dec 29 19:51:19 GMT 2024","passed","Sun Dec 29 19:51:19 GMT 2024","Next TO DO List","TC_04_next-todo-list-tests.spec.ts","",""
"","5","Validate the addition of a new face","chromium","Sun Dec 29 19:51:19 GMT 2024","passed","Sun Dec 29 19:51:19 GMT 2024","Next TO DO List","TC_04_next-todo-list-tests.spec.ts","",""
"","2298","Verify desktop responsiveness of the application","chromium","Sun Dec 29 19:51:19 GMT 2024","passed","Sun Dec 29 19:51:21 GMT 2024","Responsive Website Testing","TC_03_Verify-responsiveness-on-desktop-and-mobile.spec.ts","",""
"","2315","Validate error message is displayed for invalid login credentials","chromium","Sun Dec 29 19:51:19 GMT 2024","passed","Sun Dec 29 19:51:21 GMT 2024","","TC_01_Verify_invalid_credentials_gives_expected_error_message.spec.ts","",""
"","985","Verify successful user logout functionality","chromium","Sun Dec 29 19:52:00 GMT 2024","passed","Sun Dec 29 19:52:01 GMT 2024","","TC_02_Verify_user_is_able_to_add_new_alert_rule_successfully.spec.ts","",""
"","262","Validate page load performance meets expected standards","chromium","Sun Dec 29 19:51:58 GMT 2024","passed","Sun Dec 29 19:51:58 GMT 2024","","TC_02_Verify_user_is_able_to_add_new_alert_rule_successfully.spec.ts","",""
"","3","Validate camera functionality, including addition and removal","chromium","Sun Dec 29 19:51:19 GMT 2024","passed","Sun Dec 29 19:51:19 GMT 2024","Next TO DO List","TC_04_next-todo-list-tests.spec.ts","",""
"","11","Validate addition of a site and its visibility under the monitoring tab","chromium","Sun Dec 29 19:51:19 GMT 2024","passed","Sun Dec 29 19:51:19 GMT 2024","Next TO DO List","TC_04_next-todo-list-tests.spec.ts","",""
"","2","Validate search functionality and color scheme application","chromium","Sun Dec 29 19:51:19 GMT 2024","passed","Sun Dec 29 19:51:19 GMT 2024","Next TO DO List","TC_04_next-todo-list-tests.spec.ts","",""
"","3","Validate monitoring functionality and data accuracy","chromium","Sun Dec 29 19:51:19 GMT 2024","passed","Sun Dec 29 19:51:19 GMT 2024","Next TO DO List","TC_04_next-todo-list-tests.spec.ts","",""
"","2007","Verify mobile responsiveness of the application","chromium","Sun Dec 29 19:51:24 GMT 2024","passed","Sun Dec 29 19:51:26 GMT 2024","Responsive Website Testing","TC_03_Verify-responsiveness-on-desktop-and-mobile.spec.ts","",""
"","205","Validate all sidebar headings are displayed correctly","chromium","Sun Dec 29 19:51:19 GMT 2024","passed","Sun Dec 29 19:51:19 GMT 2024","","TC_02_Verify_user_is_able_to_add_new_alert_rule_successfully.spec.ts","",""
